gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
3257,2012,5,SUN,ATL,WAS,FedExField,52,77,3,NE,Cloudy,Grass,51.5,-3,24,17
3258,2012,5,SUN,PHI,PIT,Heinz Field,48,68,4,WSW,Cloudy,Grass,43,3,14,16
3259,2012,5,SUN,TEN,MIN,Mall of America Field at HHH Metrodome,66,,,,Dome,UBU Speed Series S5M,44,5.5,7,30
3260,2012,5,SUN,CHI,JAC,EverBank Field,88,53,3,SW,Cloudy,Grass,41,-5.5,41,3
3261,2012,5,SUN,SEA,CAR,Bank of America Stadium,63,69,6,N,Cloudy,Grass,43.5,3,16,12
3262,2012,5,SUN,BUF,SF,Candlestick Park,62,70,8,W,Sunny,Grass,44.5,9.5,3,45
3263,2012,5,SUN,DEN,NE,Gillette Stadium,54,65,4,S,Rain,FieldTurf,52,6.5,21,31
3264,2012,5,SN,SD,NO,Mercedes-Benz Superdome,65,,,,Dome,UBU Speed Series S5M,53,3.5,24,31
3265,2012,5,MN,HOU,NYJ,Metlife Stadium,52,69,4,N,Partly Cloudy,FieldTurf,41.5,-8,23,17
3266,2012,6,THU,PIT,TEN,LP Field,64,52,2,W,Clear,Grass,42,-5.5,23,26
3267,2012,6,SUN,CIN,CLE,Cleveland Browns Stadium,70,65,19,S,Sunny,Grass,44,-1,24,34
3268,2012,6,SUN,KC,TB,Raymond James Stadium,85,55,9,E,Sunny,Grass,40,3.5,10,38
3269,2012,6,SUN,STL,MIA,Sun Life Stadium,84,72,20,ENE,Cloudy,Grass,37.5,3.5,14,17
3270,2012,6,SUN,DET,PHI,Lincoln Financial Field,66,58,15,SSW,Sunny,Grass,47.5,4.5,26,23
3271,2012,6,SUN,OAK,ATL,Georgia Dome,,,,,Dome,FieldTurf,48.5,8.5,20,23
3272,2012,6,SUN,IND,NYJ,Metlife Stadium,65,55,14,SW,Clear,FieldTurf,42.5,3,9,35
3273,2012,6,SUN,DAL,BAL,M&T Bank Stadium,69,45,11,SW,Partly Cloudy,MomentumTurf,44.5,3.5,29,31
3274,2012,6,SUN,BUF,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,43,4.5,19,16
3275,2012,6,SUN,NE,SEA,CenturyLink Field,63,80,9,SSE,Cloudy,FieldTurf,44.5,-3.5,23,24
3276,2012,6,SUN,NYG,SF,Candlestick Park,61,80,7,NW,Sunny,Grass,44.5,5,26,3
3277,2012,6,SUN,MIN,WAS,FedExField,74,40,14,S,Sunny,Grass,48,2.5,26,38
3278,2012,6,SN,GB,HOU,Reliant Stadium,,,,,Closed Roof,Grass,48,3.5,42,24
3279,2012,6,MN,DEN,SD,Qualcomm Stadium,78,50,7,WSW,Sunny,Grass,49.5,2,35,24
3280,2012,7,THU,SEA,SF,Candlestick Park,80,30,15,S,Sunny,Grass,37.5,7,6,13
3281,2012,7,SUN,TEN,BUF,Ralph Wilson Stadium,55,75,15,WSW,Mostly Sunny,A Turf Titan,46.5,3,35,34
3282,2012,7,SUN,NO,TB,Raymond James Stadium,77,36,8,NNE,Sunny,Grass,49.5,-2,35,28
3283,2012,7,SUN,CLE,IND,Lucas Oil Stadium,60,65,9,S,Sunny,AstroTurf,45.5,2,13,17
3284,2012,7,SUN,WAS,NYG,MetLife Stadium,61,44,11,NW,Mostly Sunny,FieldTurf,51,6,23,27
3285,2012,7,SUN,DAL,CAR,Bank of America Stadium,62,43,8,ENE,Sunny,Grass,46,-2.5,19,14
3286,2012,7,SUN,GB,STL,Edward Jones Dome,,,,,Dome,AstroTurf,45.5,-5.5,30,20
3287,2012,7,SUN,BAL,HOU,Reliant Stadium,,,,,Closed Roof,Grass,48.5,7,13,43
3288,2012,7,SUN,ARI,MIN,Mall of America Field at HHH Metrodome,64,,,,Dome,UBU Speed Series S5M,40.5,6.5,14,21
3289,2012,7,SUN,NYJ,NE,Gillette Stadium,62,39,13,WNW,Partly Cloudy,FieldTurf,47.5,10.5,26,29
3290,2012,7,SUN,JAC,OAK,Oakland-Alameda County Coliseum,62,49,11,WSW,Partly Cloudy,Grass,44,4,23,26
3291,2012,7,SN,PIT,CIN,Paul Brown Stadium,55,76,1,S,Clear,UBU Speed Series S5M,45,-1,24,17
3292,2012,7,MN,DET,CHI,Soldier Field,63,89,8,S,Cloudy,Grass,47,6.5,7,13
3293,2012,8,THU,TB,MIN,Mall of America Field at HHH Metrodome,66,,,,Dome,UBU Speed Series S5M,41.5,6.5,36,17
3294,2012,8,SUN,CAR,CHI,Soldier Field,49,51,18,NE,Cloudy,Grass,43,7.5,22,23
3295,2012,8,SUN,SD,CLE,Cleveland Browns Stadium,44,89,19,NNE,Cloudy,Grass,43.5,-3,6,7
3296,2012,8,SUN,ATL,PHI,Lincoln Financial Field,58,75,23,NE,Mostly Cloudy,Grass,43.5,3,30,17
3297,2012,8,SUN,MIA,NYJ,Metlife Stadium,60,62,13,NNE,Clear,FieldTurf,39,2,30,9
3298,2012,8,SUN,SEA,DET,Ford Field,,,,,Dome,FieldTurf,42.5,2.5,24,28
3299,2012,8,SUN,JAC,GB,Lambeau Field,44,47,10,NE,Sunny,DD GrassMaster,45.5,14.5,15,24
3300,2012,8,SUN,NE,STL,Wembley Stadium,49,84,9,SW,Mostly Cloudy,Grass,47,-7,45,7
3301,2012,8,SUN,WAS,PIT,Heinz Field,45,88,10,N,Cloudy,Grass,46,4,12,27
3302,2012,8,SUN,IND,TEN,LP Field,52,49,18,N,Sunny,Grass,47,3.5,19,13
3303,2012,8,SUN,OAK,KC,Arrowhead Stadium,50,40,3,ENE,Sunny,Grass,42,1,26,16
3304,2012,8,SUN,NYG,DAL,Cowboys Stadium,62,,,,Closed Roof,AstroTurf,48,-2,29,24
3305,2012,8,SN,NO,DEN,Sports Authority Field at Mile High,59,30,5,S,Partly Cloudy,Grass,54.5,6,14,34
3306,2012,8,MN,SF,ARI,University of Phoenix Stadium,90,11,5,W,Sunny,Grass,38,-7,24,3
3307,2012,9,THU,KC,SD,Qualcomm Stadium,63,74,12,WSW,Sunny,Grass,42.5,7.5,13,31
3308,2012,9,SUN,DEN,CIN,Paul Brown Stadium,48,59,1,N,Partly Cloudy,UBU Speed Series S5M,47.5,-5,31,23
3309,2012,9,SUN,BAL,CLE,Cleveland Browns Stadium,39,69,8,NW,Cloudy,Grass,42.5,-3.5,25,15
3310,2012,9,SUN,DET,JAC,EverBank Field,81,,10,SW,Sunny,Grass,44,-6,31,14
3311,2012,9,SUN,ARI,GB,Lambeau Field,39,57,7,NE,Mostly Cloudy,DD GrassMaster,43.5,10,17,31
3312,2012,9,SUN,CAR,WAS,FedExField,50,44,3,NW,Sunny,Grass,46.5,3,21,13
3313,2012,9,SUN,BUF,HOU,Reliant Stadium,,,,,Closed Roof,Grass,47,11,9,21
3314,2012,9,SUN,CHI,TEN,LP Field,50,63,6,NNE,Sunny,Grass,43.5,-5,51,20
3315,2012,9,SUN,MIA,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,43,-2,20,23
3316,2012,9,SUN,TB,OAK,Oakland-Alameda County Coliseum,,,,,Sunny,Grass,46,1.5,42,32
3317,2012,9,SUN,MIN,SEA,CenturyLink Field,60,89,5,SSE,Cloudy,FieldTurf,39.5,4.5,20,30
3318,2012,9,SUN,PIT,NYG,MetLife Stadium,58,44,5,WNW,Clear,FieldTurf,47.5,3.5,24,20
3319,2012,9,SN,DAL,ATL,Georgia Dome,,,,,Dome,FieldTurf,47.5,4,13,19
3320,2012,9,MN,PHI,NO,Mercedes-Benz Superdome,69,,,,Dome,UBU Speed Series S5M,52.5,3,13,28
3321,2012,10,THU,IND,JAC,EverBank Field,50,0,,CALM,Clear,Grass,42.5,-3,27,10
3322,2012,10,SUN,NYG,CIN,Paul Brown Stadium,69,30,16,SSW,Partly Cloudy,UBU Speed Series S5M,48.5,-4,13,31
3323,2012,10,SUN,SD,TB,Raymond James Stadium,80,51,10,E,Cloudy,Grass,47.5,3,24,34
3324,2012,10,SUN,TEN,MIA,Sun Life Stadium,78,52,20,ENE,Partly Cloudy,Grass,44,6,37,3
3325,2012,10,SUN,DEN,CAR,Bank of America Stadium,71,38,5,SW,,Grass,47.5,-4,36,14
3326,2012,10,SUN,BUF,NE,Gillette Stadium,60,55,12,SSW,Sunny,FieldTurf,52.5,12,31,37
3327,2012,10,SUN,OAK,BAL,M&T Bank Stadium,61,56,6,SSE,Sunny,MomentumTurf,46.5,7.5,20,55
3328,2012,10,SUN,ATL,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,53.5,-2.5,27,31
